a,word,level,word_translate
0,abandon,A1,покидать
1,ability,A1,способность
2,able,A1,способный
3,abolish,A3,отменять
4,abortion,A3,аборт
7,above,A1,выше
9,abroad,A1,за границей
10,absence,A3,отсутствие
11,absent,A3,отсутствующий
12,absolute,A1,абсолютный
13,absolutely,A2,абсолютно
14,absorb,A1,поглощать
15,abstract,A1,абстрактный
16,absurd,A3,абсурд
17,abundance,A3,избыток
18,abuse,A3,злоупотреблять
20,academic,A2,академический
22,academy,A3,академия
23,accelerate,A3,ускорить
24,accent,A1,акцент
25,accept,A1,принимать
26,acceptable,A1,приемлемый
27,acceptance,A3,принятие
28,access,A2,доступ
30,accessible,A3,доступный
31,accident,A1,несчастный случай
32,accidentally,A1,случайно
33,accommodate,A1,приспособиться
34,accommodation,A2,размещение
35,accompany,A1,сопровождать
36,accomplish,A1,выполнить
37,accomplishment,A3,достижение
38,accordance,A3,соответствие
39,according to,A1,в соответствии с
40,accordingly,A3,соответственно
41,account,A2,счет
43,accountability,A3,подотчетность
44,accountable,A3,подотчетный
45,accountant,A1,бухгалтер
46,accounting,A1,бухгалтерский учет
47,accumulate,A3,накапливаться
48,accumulation,A3,накопление
49,accuracy,A1,точность
50,accurate,A1,точный
51,accurately,A1,точно
52,accusation,A3,обвинение
53,accuse,A1,обвинять
54,accused,A3,обвиняемый
55,achieve,A1,достигать
56,achievement,A2,достижение
57,acid,A3,кислота
59,acknowledge,A1,сознавать
60,acquire,A1,приобретать
61,acquisition,A3,приобретение
62,acre,A3,акра
63,across,A1,через
65,act,A2,действовать
67,action,A1,действие
68,activate,A1,активировать
69,activation,A3,активация
70,active,A1,активный
71,activist,A3,активист
72,activity,A1,активность
73,actor,A1,актер
74,actress,A1,актриса
75,actual,A1,действительный
76,actually,A1,на самом деле
77,acute,A3,острый
78,ad,A2,объявление
79,adapt,A1,адаптировать
80,adaptation,A3,приспособление
81,add,A1,добавлять
82,addiction,A1,зависимость
83,addition,A2,добавление
84,additional,A1,дополнительный
85,additionally,A1,кроме того
86,address,A1,адрес
88,adequate,A1,адекватный
89,adequately,A1,адекватно
90,adhere,A3,придерживаться
91,adjacent,A3,соседний
92,adjust,A1,регулировать
93,adjustment,A3,корректирование
94,administer,A3,администрирование
95,administration,A1,администрация
96,administrative,A3,административный
97,administrator,A3,администратор
98,admire,A2,восхищаться
99,admission,A3,допуск
100,admit,A2,признавать
101,adolescent,A3,подростка
102,adopt,A1,усыновить
103,adoption,A3,принятие
104,adult,A1,взрослый
106,advance,A1,продвигать
109,advanced,A2,передовой
110,advantage,A1,преимущество
111,adventure,A1,приключение
112,adverse,A3,неприятный
113,advertise,A1,рекламировать
114,advertisement,A1,реклама
115,advertising,A1,реклама
116,advice,A1,совет
117,advise,A2,советовать
118,advocate,A3,адвокат
120,aesthetic,A3,эстетика
121,affair,A1,роман
122,affect,A1,оказывать воздействие
123,affection,A3,привязанность
124,afford,A2,предоставлять
125,affordable,A1,доступный
126,afraid,A1,испуганный
127,after,A1,после
130,aftermath,A3,последствия
131,afternoon,A1,полдень
132,afterwards,A1,после
133,again,A1,снова
134,against,A1,против
135,age,A1,возраст
137,aged,A2,пожилой
138,agency,A1,агентство
139,agenda,A1,повестка дня
140,agent,A2,агент
141,aggression,A3,агрессия
142,aggressive,A1,агрессивный
143,ago,A1,назад
144,agree,A1,соглашаться
145,agreement,A2,соглашение
146,agricultural,A3,сельскохозяйственный
147,agriculture,A1,сельское хозяйство
148,ah,A1,ах
149,ahead,A2,предстоящий
150,aid,A1,помогать
152,aide,A3,помощник
153,aids,A1,спид
154,aim,A2,цель
156,air,A1,воздух
157,aircraft,A1,самолет
158,airline,A1,авиакомпания
159,airport,A1,аэропорт
160,alarm,A2,тревога
162,albeit,A3,хотя
163,album,A2,альбом
164,alcohol,A2,алкоголь
165,alcoholic,A2,алкоголик
166,alert,A3,тревога
169,alien,A3,чужак
171,align,A3,выровнять
172,alignment,A3,выравнивание
173,alike,A3,одинаково
175,alive,A1,живой
176,all,A1,все
179,all right,A1,все в порядке
182,allegation,A3,утверждение
183,allege,A3,утверждать
184,allegedly,A3,якобы
185,alliance,A3,альянс
186,allocate,A3,распределять
187,allocation,A3,распределение
188,allow,A1,позволять
189,allowance,A3,разрешение
190,ally,A3,союзник
191,almost,A1,почти
192,alone,A1,один
194,along,A1,вдоль
196,alongside,A1,рядом
197,already,A1,уже
198,also,A1,также
199,alter,A1,альтернативный
200,alternative,A2,альтернатива
202,although,A1,хотя
203,altogether,A1,вообще
204,aluminium,A3,алюминий
205,always,A1,всегда
206,amateur,A3,любитель
208,amazed,A2,поражен
209,amazing,A1,удивительный
210,ambassador,A3,посол
211,ambition,A2,амбиция
212,ambitious,A2,амбициозный
213,ambulance,A1,скорая помощь
214,amend,A3,исправлять
215,amendment,A3,поправка
216,amid,A3,среди
217,among,A1,среди
218,amount,A1,количество
220,amusing,A1,занимательный
221,analogy,A3,аналогия
222,analyse,A2,анализировать
223,analysis,A2,анализ
224,analyst,A1,аналитик
225,ancestor,A1,предок
226,anchor,A3,якорь
227,ancient,A1,древний
228,and,A1,и
229,angel,A3,ангел
230,anger,A1,злость
231,angle,A1,угол
232,angrily,A1,сердито
233,angry,A1,злой
234,animal,A1,животное
235,animation,A1,анимация
236,ankle,A1,лодыжка
237,anniversary,A1,годовщина
238,announce,A2,объявить
239,announcement,A2,объявление
240,annoy,A2,раздражать
241,annoyed,A2,раздраженный
242,annoying,A2,раздражающий
243,annual,A1,ежегодный
244,annually,A1,ежегодно
245,anonymous,A3,анонимный
246,another,A1,другой
248,answer,A1,отвечать
250,anticipate,A1,предвидеть
251,anxiety,A1,беспокойство
252,anxious,A1,тревожный
253,any,A1,любой
256,any more,A1,больше
257,anybody,A1,любой
258,anyone,A1,любой
259,anything,A1,что-либо
260,anyway,A1,в любом случае
261,anywhere,A1,в любом месте
263,apart,A2,отдельно
